hour,day,value
1,1,1001
1,2,945
1,3,1114
1,4,1204
1,5,1477
1,6,2371
1,7,2122
2,1,514
2,2,531
2,3,579
2,4,563
2,5,776
2,6,1516
2,7,1405
3,1,405
3,2,343
3,3,363
3,4,404
3,5,401
3,6,865
3,7,916
4,1,256
4,2,262
4,3,215
4,4,287
4,5,289
4,6,395
4,7,416
5,1,449
5,2,459
5,3,421
5,4,413
5,5,407
5,6,290
5,7,301
6,1,1665
6,2,2088
6,3,1933
6,4,1796
6,5,1587
6,6,536
6,7,422
7,1,6488
7,2,7718
7,3,7241
7,4,7158
7,5,5829
7,6,1150
7,7,775
8,1,18182
8,2,21737
8,3,20686
8,4,19971
8,5,16909
8,6,2435
8,7,1873
9,1,37377
9,2,42542
9,3,41766
9,4,40540
9,5,35091
9,6,5478
9,7,3935
10,1,28233
10,2,30136
10,3,29936
10,4,30044
10,5,27457
10,6,8310
10,7,6858
11,1,11806
11,2,12609
11,3,12890
11,4,12900
11,5,13010
11,6,11075
11,7,9942
12,1,9912
12,2,10562
12,3,10763
12,4,11121
12,5,11548
12,6,13501
12,7,12104
13,1,11451
13,2,12013
13,3,12439
13,4,12782
13,5,12969
13,6,15097
13,7,13389
14,1,11019
14,2,11171
14,3,11888
14,4,11466
14,5,12754
14,6,15690
14,7,13792
15,1,10314
15,2,10204
15,3,10621
15,4,10739
15,5,12249
15,6,15371
15,7,13709
16,1,12304
16,2,13179
16,3,13534
16,4,13520
16,5,15524
16,6,14999
16,7,13687
17,1,21906
17,2,23171
17,3,23257
17,4,23006
17,5,24163
17,6,14256
17,7,13286
18,1,39178
18,2,41309
18,3,40056
18,4,39747
18,5,34728
18,6,13095
18,7,11901
19,1,30362
19,2,32657
19,3,31118
19,4,30549
19,5,24783
19,6,11598
19,7,10268
20,1,17798
20,2,18796
20,3,18424
20,4,18142
20,5,14171
20,6,8739
20,7,7860
21,1,10939
21,2,11765
21,3,11644
21,4,11669
21,5,8567
21,6,6424
21,7,5558
22,1,6993
22,2,7865
22,3,7960
22,4,8006
22,5,6584
22,6,5256
22,7,4292
23,1,4046
23,2,4790
23,3,4942
23,4,5198
23,5,5262
23,6,4064
23,7,2754
24,1,1975
24,2,2480
24,3,2584
24,4,2899
24,5,3855
24,6,3103
24,7,1749
